alpha,subset_ratio,repetition,os_time,os_iter,os_beta_mse,os_sigma_mse,inr_time,inr_iter,inr_beta_mse,inr_sigma_mse
1.0,0.05,417,122.09090805053711,1,0.0002962487515474247,0.0054417338139305825,152.88294076919556,3,0.00027035083124008104,0.0051044425412501045
1.0,0.05,173,123.30859589576721,1,0.0003008610929524229,0.004476049636188068,153.22148418426514,3,0.0002669417810901576,0.004068666608505341
1.0,0.05,230,122.26742196083069,1,6.62983051801543e-05,0.0018190317466089184,166.14411044120789,3,7.48472074472216e-05,0.0019252947574560305
1.0,0.05,59,102.58549571037292,1,5.096304232817788e-07,0.0006270440716386318,156.84206175804138,2,5.909609397609225e-07,0.0006292341674806719
1.0,0.05,292,119.33270835876465,1,7.270313741801714e-07,0.0010335521791527823,172.25200510025024,3,5.936498150523889e-07,0.0010414096304797844
1.0,0.05,481,132.25276255607605,1,0.00017303544463133721,0.00300949023099127,166.2056336402893,3,0.00018760623855101493,0.0031786827910119412
1.0,0.05,355,133.0809988975525,1,0.0009437681929293758,0.013108497139849639,163.7056486606598,3,0.000918935795590638,0.012803509101634813
1.0,0.05,121,129.50187969207764,1,4.130092082316106e-05,0.0015591029779053979,141.5998821258545,2,4.3388938447075846e-05,0.001582412552685346
1.0,0.05,418,129.1780562400818,1,2.3007915169184797e-05,0.0013600632193478913,145.7013840675354,2,2.2338490731984937e-05,0.001354975967325273
1.0,0.05,174,127.09857249259949,1,3.0382685124954912e-05,0.001641658429405546,175.84037971496582,3,2.629513735136914e-05,0.001567783918896018
1.0,0.05,231,119.4151725769043,1,8.350976266582434e-06,0.001988462535261399,150.41834592819214,2,7.044367602626142e-06,0.001962834318152682
1.0,0.05,60,115.52220916748047,1,5.349174037682646e-06,0.0010749270555252817,166.9571874141693,3,7.160633794682732e-06,0.001097723154734646
1.0,0.05,293,124.27960538864136,1,2.7387369988764113e-06,0.0009305883734590191,139.28827500343323,2,3.503036610103097e-06,0.0009389474527327864
1.0,0.05,482,118.99189615249634,1,0.00018972247896589074,0.0035572397297873913,151.62594556808472,2,0.00019348923151464174,0.00360092375041767
1.0,0.05,122,116.35553789138794,1,4.288628124794131e-05,0.0018076309594439106,149.55928540229797,2,4.04099388488714e-05,0.0017757228488046483
1.0,0.05,356,118.97798609733582,1,0.00020535175088238987,0.004217922140654248,173.07907438278198,3,0.0001841740389440846,0.0039243671435050176
1.0,0.05,419,116.75189399719238,1,3.388574268417053e-05,0.0012577704773489356,169.9919683933258,3,2.966415360483695e-05,0.001219752126862711
1.0,0.05,175,112.5595281124115,1,9.8412270004777e-06,0.0014155233596068542,163.83124232292175,3,7.640203258889515e-06,0.0013757272758481364
1.0,0.05,232,123.92868065834045,1,7.464596626330217e-05,0.0019089305818690157,165.49202036857605,3,8.14590883602438e-05,0.001998366588780292
1.0,0.05,61,127.85914444923401,1,1.2920348041084325e-05,0.0012279323301446119,135.46713781356812,2,1.3975442699681254e-05,0.0012382970854421889
1.0,0.05,294,116.03411483764648,1,0.00030114592361548656,0.005091170078343596,157.17397141456604,2,0.00029311473559861953,0.004993084482018013
1.0,0.05,483,112.7522337436676,1,0.00012585483795928625,0.0026089539459177567,156.07009863853455,2,0.00012107933685595761,0.002547012033706429
1.0,0.05,123,113.96354675292969,1,9.277320410845351e-05,0.0029914827087010876,174.37738394737244,3,9.862699726994784e-05,0.0030766516012580027
1.0,0.05,357,117.75783133506775,1,5.8966308976837406e-05,0.0020398048986823587,171.57121968269348,3,5.032096100437854e-05,0.00192464078218283
1.0,0.05,420,125.66748023033142,1,6.396254185819908e-06,0.0012484475919103198,161.35484552383423,3,4.365385487752557e-06,0.0012163201152264923
1.0,0.05,176,131.3762285709381,1,0.00038663663932527365,0.004998073399500592,133.67064261436462,2,0.0003808812639298386,0.004931430388282932
1.0,0.05,233,136.1917757987976,1,6.596375921709465e-05,0.0014933604870404754,126.66585230827332,2,6.766796761320115e-05,0.0015119374515871274
1.0,0.05,62,130.49395895004272,1,0.0006205434718862794,0.01003006870702302,139.03554272651672,2,0.0006117163473513443,0.009915080062431409
1.0,0.05,295,106.45176720619202,1,7.239091716443788e-05,0.001885952467852122,182.88519716262817,3,8.143053405417065e-05,0.0019933099993986623
1.0,0.05,484,112.40323090553284,1,3.0442124636747437e-05,0.0014694841560386957,181.57530236244202,3,2.462255347602172e-05,0.0014100227539989754
1.0,0.05,124,127.88148164749146,1,8.121804190760588e-05,0.0024193525530455777,167.21651649475098,3,7.5331672414942e-05,0.0023328820370737617
1.0,0.05,358,128.854261636734,1,0.00013942032300603155,0.0030882616960164234,166.60929369926453,3,0.0001319426356074187,0.0029917302785299944
1.0,0.05,421,133.0963213443756,1,0.00016997738026757928,0.0033936808007393716,139.73428750038147,2,0.0001637678571746188,0.0033191287669051828
1.0,0.05,177,135.39031672477722,1,5.851405747651898e-06,0.001073349761365833,139.8227617740631,2,6.294462752525642e-06,0.0010791581888360197
1.0,0.05,234,137.3054497241974,1,5.2986431483550675e-05,0.0014249599094944107,167.7474615573883,3,4.760859736466261e-05,0.001365249298743777
