,seed,n,alpha,M,K,init_beta,init_sigma,os_beta,os_sigma,ts_beta,ts_sigma,ms_beta,ms_sigma,oracle_beta,oracle_sigma
1505,5,2500,1.0,159,2,0.0015899898936826,0.076612364138306,0.0012810103898405,0.0531803013612566,0.0012748222475894,0.0531803013612566,0.0012748422503456,0.0531803013612566,0.0012738223887471,0.0545490781229269
1005,5,5000,0.25,293,2,0.0014663695505869,0.132321695212418,0.0014531185506089,0.0750554256833102,0.0013143833011414,0.0750554256833102,0.0013155496617798,0.0750554256833102,0.0013180670938489,0.0733603287945819
2005,5,5000,0.5,293,2,0.0024223104665484,0.0823111058798475,0.0023392356366414,0.0557655092729938,0.0024117988284753,0.0557655092729938,0.0024115578834818,0.0557655092729938,0.0023999618008366,0.0554794993875631
1255,5,5000,0.75,293,2,0.001408789251629,0.0600520650779941,0.0008700725498488,0.0445243488328519,0.0008739047177426,0.0445243488328519,0.0008739051151715,0.0445243488328519,0.0008803080187445,0.0445220398368221
2505,5,5000,1.0,293,2,0.0010031295472603,0.0529030461357025,0.0006404705749867,0.039494797195338,0.0006518876427506,0.039494797195338,0.0006518822403467,0.039494797195338,0.0006489033914585,0.0394162123198703
6,6,1000,0.25,72,2,0.0247325135534609,0.477181762807137,0.0127628421582172,0.2719980207402583,0.01497293188543,0.2719980207402583,0.0119999587096348,0.2719980207402583,0.0117614906108216,0.1678449237944532
6,6,1000,0.5,72,2,0.0080561949722744,0.2628567844409538,0.008051755456766,0.1166525529218934,0.0051181934078952,0.1166525529218934,0.0052459834687856,0.1166525529218934,0.0048332272553903,0.0960448866260076
256,6,1000,0.75,72,2,0.006778692978591,0.19366478570775,0.0028306621794548,0.0990039999946302,0.0031191147307551,0.0990039999946302,0.0031050254530737,0.0990039999946302,0.003177145515374,0.0950482182326042
506,6,1000,1.0,72,2,0.0066434706089346,0.1774101099267403,0.0059330401250979,0.0948285589478495,0.0048122859107688,0.0948285589478495,0.0048236743884855,0.0948285589478495,0.0043147998476763,0.0811519348929284
506,6,2500,0.25,159,2,0.0035333720183504,0.2614928789473103,0.0045277670215268,0.1339412325490668,0.0030586383860379,0.1339412325490668,0.003118346631366,0.1339412325490668,0.0026342974009445,0.0989292778721012
1006,6,2500,0.5,159,2,0.003302680279428,0.1469194820601615,0.0034941119434977,0.0780520144218029,0.0030936979567565,0.0780520144218029,0.0030969520145824,0.0780520144218029,0.0030239255878017,0.0675781310377934
756,6,2500,0.75,159,2,0.0021240392365566,0.1203215772323796,0.0021258277380669,0.0631499604016784,0.0017670644597818,0.0631499604016784,0.0017694400218332,0.0631499604016784,0.0017278068987563,0.0574378581534483
1506,6,2500,1.0,159,2,0.0022550076942818,0.0906626805735394,0.0016602232361638,0.0565846280211781,0.00140210547539,0.0565846280211781,0.0014029955557853,0.0565846280211781,0.0014115264685482,0.0563032540212702
1006,6,5000,0.25,293,2,0.0023990390814316,0.1493692295710593,0.0028817459630583,0.080116715868172,0.0021455141222351,0.080116715868172,0.002154284180019,0.080116715868172,0.00193578180306,0.0737582026990311
2006,6,5000,0.5,293,2,0.0014924140161449,0.0853272892499717,0.0017874714686845,0.0480182873733784,0.0014937571500388,0.0480182873733784,0.0014942411536867,0.0480182873733784,0.0014243724353498,0.0465860433697909
1256,6,5000,0.75,293,2,0.0028272265143654,0.066119448054807,0.001755728189131,0.0412218486079724,0.0019478304293027,0.0412218486079724,0.0019476656421725,0.0412218486079724,0.002056379218316,0.040411642407413
2506,6,5000,1.0,293,2,0.0011732160108721,0.0508200946585764,0.000753250798217,0.0351096575493388,0.0008128932923649,0.0351096575493388,0.0008128282854977,0.0351096575493388,0.0007995442180235,0.035161147959103
7,7,1000,0.25,72,2,0.0096323722164368,0.4822811407365471,0.0174126774770734,0.2859525388883904,0.0067656299012564,0.2859525388883904,0.0082018685286057,0.2859525388883904,0.0065766047242385,0.1517364150509049
7,7,1000,0.5,72,2,0.0072452358420357,0.2504631521732399,0.0044617885892121,0.1318984068216202,0.0051981525237272,0.1318984068216202,0.0051495832897239,0.1318984068216202,0.0062478699300174,0.1091859294273987
257,7,1000,0.75,72,2,0.0056255398608168,0.2235222516940886,0.0036354335779984,0.1160872524889611,0.0042094055630596,0.1160872524889611,0.0041801805509687,0.1160872524889611,0.0045445437397311,0.1010694001260759
507,7,1000,1.0,72,2,0.0056258388664692,0.160761528199595,0.0032137885356743,0.0910027968094491,0.0030986556839781,0.0910027968094491,0.0030977355505813,0.0910027968094491,0.0031473090947804,0.0918758551422767
507,7,2500,0.25,159,2,0.0061514098913883,0.2319227438838885,0.0030123914590787,0.1180777558855626,0.0030538476876659,0.1180777558855626,0.0030273698923674,0.1180777558855626,0.0033633336163139,0.1050490055682145
1007,7,2500,0.5,159,2,0.0038649967787106,0.1390263936219026,0.0016164232978555,0.0728556396141451,0.0021372862191819,0.0728556396141451,0.0021302182971039,0.0728556396141451,0.0023561686872201,0.0696534822448573
757,7,2500,0.75,159,2,0.0026713070903971,0.1044064905407043,0.0022160708799929,0.0592037170651332,0.0018508738564685,0.0592037170651332,0.0018520854300075,0.0592037170651332,0.0017409105857303,0.0573415015040669
1507,7,2500,1.0,159,2,0.0017986515966008,0.0966721532292939,0.0016147235934987,0.0498090224732131,0.0014186842720657,0.0498090224732131,0.0014191027988753,0.0498090224732131,0.0013992354065965,0.0459780972027391
1007,7,5000,0.25,293,2,0.0047018480967321,0.1379576800815063,0.0017287680930983,0.0784716772101115,0.0024367276771734,0.0784716772101115,0.0024280585261228,0.0784716772101115,0.0026363499475761,0.0741244880795655
2007,7,5000,0.5,293,2,0.0012324469941184,0.0880227284372443,0.0013099215619604,0.0483229817802308,0.0010190746626483,0.0483229817802308,0.001019619228145,0.0483229817802308,0.0009734444291762,0.0449630759959901
1257,7,5000,0.75,293,2,0.0013526715440758,0.0687240984438302,0.0007335211506058,0.0410068808812013,0.0008445760942291,0.0410068808812013,0.0008442680770091,0.0410068808812013,0.0009385266366601,0.0403431549923765
2507,7,5000,1.0,293,2,0.001168339160776,0.0601459524054671,0.0009142616809403,0.035397101320328,0.0007570354214148,0.035397101320328,0.0007573024937827,0.035397101320328,0.0007580513668503,0.0349887724588683
8,8,1000,0.25,72,2,0.0131084597350486,0.4444021331271172,0.0116481943779316,0.2281758920511443,0.0094495488720208,0.2281758920511443,0.0090500343102546,0.2281758920511443,0.0084643715774573,0.1689783312996283
8,8,1000,0.5,72,2,0.0061095122054977,0.2740177961486812,0.0100133125247437,0.1358616236836677,0.0082950438585523,0.1358616236836677,0.0084116489446761,0.1358616236836677,0.0067364453540966,0.1202678452132236
